note_id,raw_note,gratitude_type,time_of_event
1,Today is Friday,weekend,
2,The five extra minutes of sleep,sleeping,
3,my mom,parent,
4,great weather,weather,
5,sleeping in,sleeping,
6,running at wash park,exercise,04/02/2023
7,to play baseball,sports,
8,to sleep in a bit,sleeping,
9,to not be hungover,health,
10,my job,career,
11,my bed,sleeping,
12,my brother,sibling,
13,my friends,friends,
14,my good health,health,
15,my car,material,
16,my piano,material,
17,my new discord,achievement,
18,my friends,friends,
19,mark,specific friend,
20,my friends,friends,
21,my family,family,
22,my brother,sibling,
23,my friends,friends,
24,my phone,material,
25,Friday,weekend,
26,my barber,myself,
27,my mom,parent,
28,my friends,friends,
29,beer,fun,
30,my bed,sleeping,
31,my health,health,
32,my bed,sleeping,
33,my friends,friends,
34,sleeping in,sleeping,
35,my job,career,
36,protein,exercise,
37,the gym,exercise,
38,water,health,
39,my mom,parent,
40,forex,material,
41,better weather,weather,
42,my family,family,
43,sleep,sleeping,
44,my friends,friends,
45,my family,family,
46,my mom,parent,
47,my dad,parent,
48,my brother,sibling,
49,getting home safely,safety,
50,Niko,specific friend,
51,baseball,sports,
52,a new day,new day,
53,my mom,parent,
54,Luis,specific family,
55,my bed,sleeping,
56,Carl,specific friend,
57,God,faith,
58,gym,exercise,
59,God,faith,
60,my mom,parent,
61,alarm clocks,other,
62,good food,fun,
63,my family,family,
64,Friday,weekend,
65,good friends,friends,
66,good weather,weather,
67,everyone ive gained,other,
68,everyone ive lost,other,
69,another breath of life,new day,
70,getting home safely,safety,
71,my friends,friends,
72,her,love,
73,her,love,
74,my mom,parent,
75,Luis,specific family,
76,meditation,mental health,
77,comfy bed,home,
78,good job,career,
79,piano,material,
80,my family,family,
81,my friends,friends,
82,car,material,
83,education,education,
84,healthy,health,
85,motivation,mental health,
86,friday,weekend,
87,my belief,faith,
88,the homies,friends,
89,new friends,friends,
90,water,health,
91,my family,family,
92,dreaming,mental health,
93,my uncles,specific family,
94,Nuggets,sports,
95,my dad,parent,
96,Alex,specific friend,
97,food at work,fun,
98,God,faith,
99,books,education,
100,Ruben,specific friend,
101,my family,family,
102,my health,health,
103,downtown parking,material,
104,my friends,friends,
105,getting home safely,safety,
106,Ruben,specific friend,
107,Carlos,specific friend,
108,Carmen,specific friend,
109,Alex,specific friend,
110,Fern,specific friend,
111,Jesus,specific friend,
112,my bed,sleeping,
113,meditation,mental health,
114,my health,health,
115,piano lessons,education,
116,sports,sports,
117,wednesday,new day,
118,my dreams,mental health,
119,my good health,health,
120,my family,family,
121,my friends,friends,
122,my family,family,
123,God,faith,
124,great friends,friends,
125,having fun,fun,
126,being alive,new day,
127,Ruben,specific friend,
