note_id,gratitude_type,time_of_event
1,weekend,2021
2,sleeping,2021
3,parent,2021
4,weather,2021
5,sleeping,2021
6,exercise,2021
7,sports,2021
8,sleeping,2021
9,health,2021
10,career,2021
11,sleeping,2021
12,sibling,2021
13,friends,2021
14,health,2021
15,material,2021
16,material,2021
17,achievement,2021
18,friends,2021
19,specific friend,2021
20,friends,2021
21,family,2021
22,sibling,2021
23,friends,2021
24,material,2021
25,weekend,2021
26,myself,2021
27,parent,2021
28,friends,2021
29,fun,2021
30,sleeping,2021
31,health,2021
32,sleeping,2021
33,friends,2021
34,sleeping,2021
35,career,2021
36,exercise,2021
37,exercise,2021
38,health,2021
39,parent,2021
40,material,2021
41,weather,2021
42,family,2021
43,sleeping,2021
44,friends,2021
45,family,2021
46,parent,2021
47,parent,2021
48,sibling,2021
49,safety,2021
50,specific friend,2021
51,sports,2021
52,new day,2021
53,parent,2021
54,specific family,2021
55,sleeping,2021
56,specific friend,2021
57,faith,2021
58,exercise,2021
59,faith,2021
60,parent,2021
61,other,2021
62,fun,2021
63,family,2021
64,weekend,2021
65,friends,2021
66,weather,2021
67,other,2021
68,other,2021
69,new day,2021
70,safety,2021
71,friends,2021
72,love,2021
73,love,2021
74,parent,2021
75,specific family,2021
76,mental health,2021
77,home,2021
78,career,2021
79,material,2021
80,family,2021
81,friends,2021
82,material,2021
83,education,2021
84,health,2021
85,mental health,2021
86,weekend,2021
87,faith,2021
88,friends,2021
89,friends,2021
90,health,2021
91,family,2021
92,mental health,2021
93,specific family,2021
94,sports,2021
95,parent,2021
96,specific friend,2021
97,fun,2021
98,faith,2021
99,education,2021
100,specific friend,2021
101,family,2021
102,health,2021
103,material,2021
104,friends,2021
105,safety,2021
106,specific friend,2021
107,specific friend,2021
108,specific friend,2021
109,specific friend,2021
110,specific friend,2021
111,specific friend,2021
112,sleeping,2021
113,mental health,2021
114,health,2021
115,education,2021
116,sports,2021
117,new day,2021
118,mental health,2021
119,health,2021
120,family,2021
121,friends,2021
122,family,2021
123,faith,2021
124,friends,2021
125,fun,2021
126,new day,2021
127,specific friend,2021
128,fun,2021
129,weekend,2021
130,family,2021
131,mental health,2021
132,health,2021
133,new day,2021
134,sports,2021
135,sleeping,2021
136,specific friend,2021
137,specific family,2021
138,specific family,2021
139,weekend,2021
140,sleeping,2021
141,new day,2021
142,home,2021
143,new day,2021
144,mental health,2021
145,health,2021
146,mental health,2021
147,achievement,2021
148,weekend,2021
149,sleeping,2021
150,new day,2021
151,weekend,2021
152,family,2021
153,new day,2021
154,weekend,2021
155,entertainment,2021
156,new day,2021
157,friends,2021
158,family,2021
159,faith,2021
160,family,2021
161,friends,2021
162,sleeping,2021
163,family,2021
164,weekend,2021
165,sports,2021
166,parent,2021
167,fun,2021
168,safety,2021
169,friends,2021
170,specific friend,2021
171,mental health,2021
172,safety,2021
173,weekend,2021
174,home,2021
175,new day,2021
176,new day,2021
177,family,2021
178,friends,2021
179,family,2021
180,sleeping,2021
181,myself,2021
182,travel,2021
183,love,2021
184,weekend,2021
185,sleeping,2021
186,entertainment,2021
187,friends,2021
188,friends,2021
189,sports,2021
190,entertainment,2021
191,sleeping,2021
192,friends,2021
193,new day,2021
194,mental health,2021
195,love,2021
196,friends,2021
197,mental health,2021
198,family,2021
199,sleeping,2021
200,sleeping,2021
201,weather,2021
202,career,2021
203,weekend,2021
204,sleeping,2021
205,fun,2021
206,family,2021
207,health,2021
208,new day,2021
209,family,2021
210,specific friend,2021
211,exercise,2021
212,career,2021
213,parent,2021
214,fun,2021
215,health,2021
216,fun,2021
217,friends,2021
218,weekend,2021
219,specific family,2021
220,parent,2021
221,parent,2021
222,parent,2021
223,sibling,2021
224,parent,2021
225,exercise,2021
226,fun,2021
227,friends,2021
228,family,2021
229,health,2021
230,travel,2021
231,weekend,2021
232,family,2021
233,fun,2021
234,friends,2021
235,weekend,2021
236,friends,2021
237,family,2021
238,myself,2021
239,parent,2021
240,faith,2021
241,sibling,2021
242,faith,2021
243,parent,2021
244,sibling,2021
245,faith,2021
246,parent,2021
247,sibling,2021
248,sports,2021
249,specific friend,2021
250,parent,2021
251,exercise,2021
252,parent,2021
253,education,2021
254,entertainment,2021
255,specific friend,2021
256,fun,2021
257,fun,2021
258,education,2021
259,specific family,2021
260,fun,2021
261,sleeping,2021
262,parent,2021
263,parent,2021
264,material,2021
265,career,2021
266,friends,2021
267,parent,2021
268,career,2021
269,friends,2021
270,career,2021
271,parent,2021
272,family,2021
273,weekend,2021
274,travel,2021
275,family,2021
276,home,2021
277,friends,2021
278,parent,2021
279,new day,2021
280,friends,2021
281,sleeping,2021
282,faith,2021
283,specific friend,2021
284,parent,2021
285,faith,2021
286,weekend,2021
287,family,2021
288,specific friend,2021
289,friends,2021
290,family,2021
291,weekend,2021
292,fun,2021
293,new day,2021
294,education,2021
295,sports,2021
296,sleeping,2021
297,parent,2021
298,family,2021
299,friends,2021
300,parent,2021
301,parent,2021
302,friends,2021
303,home,2021
304,myself,2021
305,career,2021
306,parent,2021
307,friends,2021
308,fun,2021
309,safety,2021
310,new day,2021
311,sports,2021
312,mental health,2021
313,parent,2021
314,sleeping,2021
315,parent,2021
316,parent,2021
317,health,2021
318,sports,2021
319,parent,2021
320,home,2021
321,parent,2021
322,travel,2021
323,weekend,2021
324,new day,2021
325,friends,2021
326,sports,2021
327,sleeping,2021
328,career,2021
329,myself,2021
330,education,2021
331,education,2021
332,myself,2021
333,career,2021
334,friends,2021
335,myself,2021
336,friends,2021
337,myself,2021
338,parent,2021
339,specific friend,2021
340,weekend,2021
341,fun,2021
342,parent,2021
343,friends,2021
344,health,2021
345,parent,2021
346,faith,2021
347,myself,2021
348,parent,2021
349,health,2021
350,faith,2021
351,health,2021
352,faith,2021
353,sleeping,2021
354,friends,2021
355,career,2021
356,family,2021
357,parent,2021
358,specific family,2021
359,family,2021
360,weekend,2021
361,myself,2021
362,weekend,2021
363,sibling,2021
364,parent,2021
365,mental health,2021
366,health,2021
367,work from home,2021
368,career,2021
369,family,2021
370,specific friend,2021
371,specific friend,2021
372,friends,2021
373,family,2021
374,friends,2021
375,faith,2021
376,new day,2021
377,friends,2021
378,myself,2021
379,new day,2021
380,career,2021
381,health,2021
382,family,2021
383,faith,2021
384,parent,2021
385,career,2021
386,friends,2021
387,myself,2021
388,career,2021
389,specific friend,2021
